,area__rucc,area__urban_influence,econ__economic_typology,econ__pct_civilian_labor,econ__pct_unemployment,econ__pct_uninsured_adults,econ__pct_uninsured_children,demo__pct_female,demo__pct_below_18_years_of_age,demo__pct_aged_65_years_and_older,demo__pct_hispanic,demo__pct_non_hispanic_african_american,demo__pct_non_hispanic_white,demo__pct_american_indian_or_alaskan_native,demo__pct_asian,demo__pct_adults_less_than_a_high_school_diploma,demo__pct_adults_with_high_school_diploma,demo__pct_adults_with_some_college,demo__pct_adults_bachelors_or_higher,demo__birth_rate_per_1k,demo__death_rate_per_1k,health__pct_adult_obesity,health__pct_adult_smoking,health__pct_diabetes,health__pct_low_birthweight,health__pct_physical_inacticity,health__air_pollution_particulate_matter,health__motor_vehicle_crash_deaths_per_100k,health__pop_per_dentist,health__pop_per_primary_care_physician,yr,heart_disease_mortality_per_100k,health__pct_excessive_drinking
508,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Federal/State government-dependent,0.498,0.061,0.156,0.047,0.501,0.186,0.108,0.049,0.124,0.714,0.003,0.102,0.062624254,0.225646123,0.280318091,0.431411531,12,6,0.279,0.163,0.068,0.069,0.222,13,7.11,2030,1100,b,215,0.179
509,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Nonspecialized,0.401,0.085,0.247,0.064,0.508,0.234,0.148,0.007,0.004,0.957,0.008,0.009,0.242728185,0.38114343,0.25777332,0.118355065,11,9,0.322,0.295,0.113,0.086,0.336,13,24.56,2499,2280,b,332,0.093
510,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Nonspecialized,0.364,0.085,0.223,0.075,0.508,0.175,0.244,0.053,0.007,0.841,0.049,0.016,0.078528827,0.277335984,0.395626243,0.248508946,10,13,0.273,0.189,0.109,0.062,0.192,11,15.15,1179,1009,b,226,0.14
511,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",Farm-dependent,0.38,0.108,0.258,0.074,0.504,0.228,0.165,0.001,0.003,0.99,0.007,0.006,0.260913706,0.43248731,0.195939086,0.110659898,12,9,0.361,0.339,0.134,0.096,0.367,13,27.7,4650,4620,b,328,0.124
512,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Nonspecialized,0.447,0.071,0.205,0.066,0.522,0.219,0.215,0.021,0.367,0.599,0.005,0.005,0.200614125,0.373592631,0.273285568,0.152507677,11,14,0.326,0.203,0.14,0.111,0.316,12,30.67,2809,1889,b,304,0.109
513,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Federal/State government-dependent,0.476,0.08,0.187,0.048,0.535,0.218,0.117,0.048,0.633,0.271,0.012,0.025,0.179461615,0.293120638,0.2333001,0.294117647,14,10,0.342,0.23,0.114,0.126,0.303,12,9.13,1900,939,b,387,0.173
514,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",Manufacturing-dependent,0.419,0.061,0.225,0.082,0.506,0.185,0.239,0.025,0.06,0.901,0.002,0.011,0.210953347,0.364097363,0.305273834,0.119675456,7,13,0.295,0.193,0.118,0.084,0.253,13,22.83,6120,4609,a,309,0.118
515,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.417,0.085,0.264,0.086,0.524,0.262,0.137,0.03,0.296,0.664,0,0,0.201025641,0.291282051,0.343589744,0.164102564,12,10,0.355,0.233,0.151,0.101,0.334,12,36,4250,4099,b,379,0.13
516,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Nonspecialized,0.487,0.033,0.255,0.123,0.496,0.291,0.146,0.048,0.006,0.93,0.003,0.016,0.247202442,0.377416073,0.238046796,0.13733469,17,10,0.321,0.233,0.122,0.075,0.322,14,18.7,4050,2289,a,300,0.164
517,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Manufacturing-dependent,0.521,0.051,0.226,0.077,0.523,0.234,0.108,0.124,0.369,0.43,0.012,0.044,0.126633166,0.169849246,0.24321608,0.460301508,15,6,0.296,0.14,0.095,0.091,0.194,12,11.51,1459,800,b,209,0.145
518,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents",Mining-dependent,0.388,0.167,0.383,0.144,0.464,0.359,0.063,0.014,0,0.115,0.803,0.005,0.212701613,0.436491935,0.247983871,0.102822581,23,5,0.298,0.48,0.076,0.07,0.303,9,110.45,2720,3860,b,240,0.208
519,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Recreation,0.464,0.067,0.138,0.052,0.489,0.198,0.182,0.03,0.01,0.951,0.004,0.003,0.120240481,0.387775551,0.298597194,0.193386774,9,9,0.301,0.25,0.085,0.074,0.25,11,9.61,3709,4069,b,223,0.109
520,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.421,0.052,0.337,0.12,0.482,0.233,0.134,0.147,0.444,0.38,0.003,0.003,0.208910891,0.367326733,0.272277228,0.151485149,12,8,0.413,0.263,0.122,0.119,0.26,13,43.01,3900,4189,b,283,0.196
521,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.558,0.027,0.182,0.086,0.49,0.253,0.192,0.146,0,0.827,0.01,0.006,0.12804878,0.319105691,0.37296748,0.179878049,11,11,0.304,0.194,0.104,0.078,0.275,14,30.22,4900,2440,a,260,0.146
522,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.505,0.051,0.138,0.073,0.486,0.209,0.215,0.021,0,0.933,0.018,0,0.106707317,0.389227642,0.317073171,0.18699187,12,13,0.322,0.174,0.1,0.086,0.346,11,21.37,2470,3669,b,222,0.232
523,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a small metro area,Manufacturing-dependent,0.512,0.041,0.217,0.106,0.498,0.249,0.139,0.077,0.01,0.888,0.005,0.011,0.148148148,0.384384384,0.266266266,0.201201201,14,9,0.314,0.219,0.105,0.068,0.227,13,13.08,3380,2279,a,253,0.123
524,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.556,0.028,0.092,0.048,0.524,0.249,0.132,0.053,0.059,0.818,0.004,0.063,0.054848188,0.209598433,0.319294809,0.41625857,15,6,0.225,0.114,0.072,0.062,0.193,12,7.51,1239,420,a,163,0.143
525,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Micropolitan adjacent to a small metro area,Recreation,0.43,0.088,0.247,0.113,0.521,0.179,0.267,0.021,0.001,0.953,0,0.01,0.138,0.401,0.295,0.166,8,12,0.332,0.243,0.12,0.068,0.294,10,20.55,7820,3150,a,267,0.164
526,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.554,0.026,0.206,0.116,0.52,0.245,0.237,0.016,0,0.868,0.094,0.008,0.088235294,0.369168357,0.351926978,0.190669371,13,12,0.282,0.138,0.103,0.055,0.326,12,33.45,1419,1709,a,306,0.208
527,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.515,0.06,0.137,0.031,0.505,0.219,0.174,0.049,0.02,0.914,0.008,0.01,0.097236438,0.356192426,0.341862845,0.204708291,11,11,0.297,0.243,0.102,0.067,0.254,12,14.17,2770,2949,a,252,0.176
528,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents",Federal/State government-dependent,0.576,0.028,0.212,0.085,0.499,0.19,0.166,0.035,0.016,0.864,0.036,0.007,0.052423343,0.298714144,0.318496538,0.330365974,9,7,0.276,0.167,0.083,0.07,0.281,13,15.6,1289,1520,a,238,0.209
529,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a large metro area,Manufacturing-dependent,0.529,0.046,0.127,0.05,0.498,0.225,0.145,0.074,0.016,0.907,0,0.018,0.091365462,0.357429719,0.322289157,0.228915663,10,7,0.295,0.156,0.08,0.073,0.167,12,12.22,1830,2410,a,220,0.231
530,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Mining-dependent,0.486,0.046,0.342,0.148,0.499,0.273,0.1,0.415,0.186,0.314,0.02,0.062,0.208121827,0.234517766,0.262944162,0.294416244,16,6,0.286,0.147,0.081,0.087,0.213,9,10.22,1609,1730,a,249,0.16
531,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.51,0.048,0.176,0.09,0.5,0.247,0.139,0.01,0.008,0.964,0,0.007,0.118301314,0.413549039,0.308392315,0.159757331,11,10,0.335,0.244,0.113,0.085,0.297,14,11.66,2400,2159,a,313,0.184
532,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.467,0.043,0.217,0.054,0.504,0.244,0.155,0.026,0.022,0.92,0.001,0.006,0.111445783,0.422690763,0.299196787,0.166666667,11,11,0.353,0.392,0.111,0.099,0.318,12,25.57,3599,5989,a,323,0.187
533,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Recreation,0.394,0.076,0.216,0.083,0.515,0.159,0.311,0.062,0.015,0.871,0.031,0.01,0.103030303,0.273737374,0.385858586,0.237373737,7,16,0.295,0.213,0.114,0.049,0.223,8,19.14,1859,1300,a,273,0.17
534,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Micropolitan adjacent to a large metro area,Nonspecialized,0.489,0.041,0.211,0.091,0.503,0.23,0.175,0.092,0.055,0.81,0.006,0.013,0.142,0.397,0.268,0.193,12,10,0.382,0.284,0.119,0.078,0.281,10,14.18,3320,1660,a,337,0.168
535,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Nonspecialized,0.371,0.09,0.269,0.084,0.507,0.246,0.154,0.055,0.31,0.577,0.018,0.007,0.187626775,0.359026369,0.31643002,0.136916836,12,12,0.306,0.259,0.12,0.096,0.332,12,19.62,3670,2330,b,363,0.082
536,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Federal/State government-dependent,0.49,0.034,0.201,0.101,0.497,0.286,0.105,0.176,0.01,0.77,0.009,0.013,0.098878695,0.287461774,0.382262997,0.231396534,16,7,0.274,0.125,0.084,0.078,0.174,12,10.54,1270,2230,a,244,0.099
537,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Manufacturing-dependent,0.493,0.069,0.185,0.056,0.494,0.208,0.207,0.013,0.005,0.933,0.03,0.001,0.091463415,0.431910569,0.333333333,0.143292683,9,12,0.32,0.289,0.124,0.061,0.301,11,14.79,1609,2990,b,259,0.204
538,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.453,0.114,0.304,0.083,0.496,0.289,0.106,0.503,0.051,0.327,0.022,0.106,0.26026026,0.229229229,0.309309309,0.201201201,17,7,0.293,0.143,0.093,0.068,0.197,10,15.64,1880,1590,b,274,0.183
539,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.514,0.049,0.117,0.036,0.508,0.215,0.142,0.131,0.022,0.816,0.002,0.012,0.078234704,0.265797392,0.273821464,0.382146439,9,7,0.296,0.097,0.082,0.083,0.228,11,8.61,1839,1809,a,253,0.23
540,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a large metro area,Nonspecialized,0.454,0.055,0.176,0.054,0.516,0.241,0.16,0.002,0.036,0.929,0.008,0.004,0.134462151,0.430278884,0.288844622,0.146414343,12,11,0.319,0.224,0.124,0.091,0.329,14,13.29,1699,1559,a,278,0.166
541,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Noncore adjacent to a large metro area,Manufacturing-dependent,0.521,0.044,0.097,0.056,0.533,0.231,0.16,0.051,0.021,0.898,0.007,0.006,0.080726539,0.356205853,0.371342079,0.19172553,11,8,0.292,0.416,0.09,0.053,0.26,12,14.14,2119,2739,a,211,0.26
542,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Mining-dependent,0.55,0.042,0.204,0.096,0.476,0.267,0.128,0.141,0.005,0.828,0.023,0.019,0.092353525,0.403177756,0.349553128,0.154915591,15,7,0.269,0.215,0.069,0.092,0.246,13,15.98,2180,2199,a,232,0.259
543,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.514,0.041,0.189,0.097,0.501,0.226,0.227,0.014,0.022,0.952,0.008,0.006,0.148554337,0.48554337,0.216350947,0.149551346,11,14,0.302,0.122,0.116,0.055,0.321,10,20.93,7619,2419,a,304,0.195
544,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Nonspecialized,0.587,0.034,0.116,0.034,0.51,0.232,0.217,0.02,0,0.975,0.006,0.007,0.078470825,0.369215292,0.338028169,0.214285714,10,13,0.311,0.201,0.104,0.056,0.294,10,21.85,2039,1710,b,234,0.252
545,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",Federal/State government-dependent,0.399,0.112,0.204,0.07,0.451,0.193,0.183,0.016,0.077,0.731,0.136,0.004,0.172482552,0.437686939,0.250249252,0.139581256,9,13,0.329,0.244,0.122,0.055,0.215,10,51.35,1930,970,b,323,0.226
546,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Federal/State government-dependent,0.38,0.06,0.261,0.124,0.495,0.212,0.168,0.037,0.038,0.712,0.144,0.004,0.147410359,0.368525896,0.325697211,0.158366534,12,14,0.337,0.281,0.133,0.099,0.316,10,32.96,2489,1469,b,398,0.148
547,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Mining-dependent,0.498,0.034,0.258,0.087,0.502,0.249,0.132,0.121,0.1,0.642,0.076,0.018,0.110778443,0.259481038,0.321357285,0.308383234,15,9,0.3,0.228,0.109,0.098,0.28,10,12.4,1520,899,a,317,0.139
548,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.564,0.045,0.076,0.02,0.506,0.225,0.158,0.047,0.009,0.898,0.007,0.028,0.042,0.238,0.309,0.411,9,8,0.267,0.162,0.079,0.073,0.166,12,6.3,1180,709,a,194,0.244
549,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Federal/State government-dependent,0.432,0.05,0.129,0.04,0.479,0.178,0.192,0.048,0.055,0.865,0.002,0.011,0.137040715,0.35551142,0.293942403,0.213505462,8,12,0.308,0.26,0.088,0.092,0.271,11,14.79,2849,2859,a,282,0.197
550,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Mining-dependent,0.545,0.033,0.197,0.09,0.478,0.225,0.176,0.048,0,0.924,0.018,0.005,0.120672601,0.316518299,0.378832839,0.183976261,10,10,0.291,0.209,0.088,0.087,0.264,11,23.22,3570,1770,a,215,0.178
551,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",Recreation,0.473,0.073,0.229,0.066,0.497,0.242,0.183,0.141,0.002,0.826,0.02,0.01,0.150887574,0.34418146,0.340236686,0.16469428,12,10,0.343,0.217,0.125,0.085,0.222,12,16.55,3740,2020,a,267,0.199
552,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Recreation,0.457,0.079,0.268,0.115,0.488,0.274,0.08,0.041,0.007,0.828,0.061,0.018,0.083333333,0.320281124,0.385542169,0.210843373,14,5,0.303,0.268,0.065,0.058,0.243,8,14.69,2320,1909,b,209,0.185
553,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.498,0.086,0.166,0.03,0.505,0.245,0.138,0.095,0.149,0.729,0,0.01,0.118301314,0.341759353,0.341759353,0.19817998,12,10,0.33,0.271,0.106,0.08,0.289,13,13.45,2559,2029,b,292,0.143
554,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a small metro area,Manufacturing-dependent,0.468,0.069,0.162,0.037,0.503,0.218,0.193,0.027,0.092,0.845,0.007,0.002,0.098409543,0.350894632,0.370775348,0.179920477,10,11,0.267,0.287,0.116,0.083,0.286,12,13.71,1990,1980,b,231,0.227
555,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Federal/State government-dependent,0.442,0.08,0.201,0.067,0.441,0.197,0.156,0.018,0.057,0.703,0.148,0.005,0.110781405,0.370919881,0.324431256,0.193867458,10,10,0.385,0.226,0.116,0.058,0.252,10,10.99,1540,1619,a,262,0.298
556,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Mining-dependent,0.527,0.053,0.197,0.093,0.485,0.238,0.128,0.078,0.021,0.858,0.024,0.003,0.08241206,0.273366834,0.422110553,0.222110553,15,9,0.271,0.262,0.09,0.072,0.24,11,19.67,1369,1420,a,243,0.172
557,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.448,0.057,0.168,0.027,0.498,0.238,0.174,0.046,0.135,0.789,0.008,0,0.135912698,0.404761905,0.320436508,0.138888889,12,12,0.339,0.254,0.118,0.09,0.27,14,12.45,3340,2010,a,331,0.164
558,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.433,0.059,0.224,0.043,0.522,0.223,0.176,0.007,0.008,0.953,0.006,0.001,0.110663984,0.376257545,0.317907445,0.195171026,12,12,0.317,0.274,0.15,0.098,0.328,13,9.21,1940,1279,b,359,0.087
559,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Manufacturing-dependent,0.394,0.074,0.234,0.054,0.487,0.203,0.186,0.03,0.023,0.927,0.009,0.005,0.207700101,0.486322188,0.171225937,0.134751773,11,12,0.306,0.229,0.122,0.08,0.322,13,28.9,1980,4619,a,299,0.121
560,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Micropolitan adjacent to a small metro area,Manufacturing-dependent,0.475,0.068,0.207,0.084,0.501,0.258,0.136,0.017,0.003,0.957,0.012,0.006,0.163225172,0.469026549,0.269419862,0.098328417,12,10,0.284,0.321,0.107,0.087,0.295,14,28.66,7110,2009,b,301,0.127
561,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Manufacturing-dependent,0.593,0.027,0.143,0.052,0.507,0.262,0.156,0.051,0.002,0.932,0.01,0.002,0.089285714,0.345238095,0.374007937,0.191468254,12,6,0.305,0.227,0.085,0.038,0.307,11,51.35,4230,5579,b,194,0.253
562,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Manufacturing-dependent,0.404,0.067,0.244,0.089,0.433,0.196,0.174,0.036,0.216,0.721,0.007,0.008,0.243538767,0.391650099,0.281312127,0.083499006,10,11,0.367,0.297,0.147,0.101,0.326,12,21.87,2070,2060,a,306,0.139
563,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.465,0.06,0.208,0.06,0.5,0.248,0.162,0.108,0.027,0.824,0.01,0.009,0.132612967,0.336935167,0.329076621,0.201375246,12,10,0.325,0.198,0.13,0.074,0.262,13,15.9,2789,1750,a,276,0.203
564,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Recreation,0.382,0.074,0.195,0.053,0.509,0.207,0.217,0.02,0.003,0.95,0.007,0.005,0.156530409,0.395812562,0.326021934,0.121635095,11,13,0.314,0.27,0.113,0.076,0.301,12,19.76,3819,3069,a,335,0.138
565,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Federal/State government-dependent,0.528,0.056,0.126,0.055,0.511,0.194,0.189,0.049,0.032,0.863,0.003,0.009,0.067676768,0.238383838,0.246464646,0.447474747,8,9,0.212,0.13,0.077,0.071,0.182,10,6.71,1109,1149,a,220,0.215
566,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Manufacturing-dependent,0.405,0.058,0.273,0.064,0.511,0.242,0.145,0.135,0.012,0.803,0.021,0.008,0.276,0.35,0.263,0.111,11,11,0.315,0.18,0.135,0.096,0.29,13,19.5,4169,2450,a,353,0.095
567,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Micropolitan adjacent to a small metro area,Federal/State government-dependent,0.44,0.06,0.207,0.08,0.467,0.217,0.156,0.023,0.042,0.891,0.009,0.004,0.150738916,0.42364532,0.301477833,0.124137931,10,10,0.338,0.307,0.109,0.091,0.282,13,18.1,5159,5210,a,305,0.195
568,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Manufacturing-dependent,0.516,0.043,0.141,0.044,0.492,0.226,0.17,0.027,0,0.954,0.005,0.008,0.088,0.367,0.358,0.187,11,9,0.361,0.214,0.107,0.075,0.216,13,16.07,3689,2799,a,255,0.177
569,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Nonspecialized,0.385,0.088,0.324,0.109,0.512,0.243,0.155,0.053,0.104,0.826,0,0.011,0.187817259,0.378680203,0.313705584,0.119796954,13,10,0.302,0.294,0.117,0.106,0.31,12,27.2,6449,4840,b,327,0.13
570,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.555,0.054,0.236,0.068,0.508,0.243,0.093,0.124,0.308,0.488,0.009,0.051,0.102306921,0.199598796,0.272818455,0.425275827,14,6,0.239,0.144,0.08,0.087,0.199,13,7.89,1540,1160,a,210,0.159
571,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.478,0.057,0.242,0.075,0.522,0.239,0.143,0.12,0.258,0.58,0.005,0.023,0.133726647,0.248770895,0.284169125,0.333333333,12,9,0.257,0.198,0.095,0.092,0.214,13,11.49,1649,939,a,222,0.13
572,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.449,0.071,0.197,0.071,0.504,0.226,0.15,0.036,0.075,0.86,0,0.009,0.127849356,0.39147671,0.309217047,0.171456888,11,11,0.368,0.277,0.128,0.092,0.344,14,12.92,2160,1869,b,278,0.159
573,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Noncore adjacent to a large metro area,Nonspecialized,0.384,0.105,0.269,0.075,0.525,0.266,0.14,0.01,0.484,0.481,0.001,0.007,0.193386774,0.362725451,0.291583166,0.152304609,16,12,0.362,0.241,0.133,0.121,0.388,12,50.97,3470,3139,b,423,0.119
574,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a small metro area,Manufacturing-dependent,0.482,0.054,0.18,0.066,0.505,0.229,0.177,0.021,0.009,0.958,0.007,0.003,0.147317073,0.469268293,0.244878049,0.138536585,12,11,0.353,0.223,0.091,0.081,0.316,14,11.74,2980,2190,a,288,0.132
575,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a small metro area,Federal/State government-dependent,0.478,0.055,0.182,0.072,0.486,0.147,0.093,0.05,0.015,0.818,0.003,0.069,0.046719682,0.174950298,0.294234592,0.484095427,9,6,0.275,0.111,0.084,0.064,0.215,11,8.56,3809,1359,b,226,0.162
576,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.502,0.049,0.143,0.056,0.501,0.258,0.136,0.021,0.058,0.895,0,0.024,0.083333333,0.335294118,0.314705882,0.266666667,11,8,0.3,0.196,0.106,0.074,0.26,13,10.96,2420,1610,b,254,0.159
577,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Micropolitan adjacent to a small metro area,Federal/State government-dependent,0.441,0.167,0.329,0.092,0.494,0.253,0.204,0.634,0.008,0.335,0.025,0.006,0.322420635,0.314484127,0.244047619,0.119047619,17,12,0.247,0.191,0.1,0.078,0.239,10,19.39,3079,2080,a,306,0.163
578,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.541,0.039,0.074,0.026,0.516,0.166,0.106,0.21,0.202,0.477,0.007,0.084,0.152525253,0.229292929,0.190909091,0.427272727,12,6,0.209,0.147,0.073,0.082,0.208,10,4.12,570,680,a,196,0.185
579,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.509,0.039,0.149,0.053,0.508,0.25,0.14,0.024,0.013,0.947,0,0.011,0.105110897,0.337512054,0.286403086,0.270973963,11,8,0.287,0.241,0.109,0.066,0.265,13,9.97,2559,1390,a,250,0.153
580,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Federal/State government-dependent,0.524,0.054,0.216,0.048,0.516,0.221,0.121,0.037,0.456,0.463,0,0.03,0.105314961,0.265748031,0.292322835,0.336614173,14,9,0.324,0.165,0.117,0.12,0.24,11,14.85,1450,1139,a,303,0.152
581,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.437,0.04,0.249,0.106,0.504,0.245,0.169,0.043,0.03,0.776,0.107,0,0.146316852,0.407669021,0.305751766,0.140262361,12,13,0.349,0.306,0.125,0.079,0.349,10,24.72,3200,3530,a,363,0.153
582,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Mining-dependent,0.45,0.059,0.161,0.063,0.478,0.193,0.185,0.004,0.042,0.933,0.007,0.003,0.117117117,0.431431431,0.303303303,0.148148148,10,12,0.327,0.225,0.148,0.084,0.333,14,11.4,2670,2169,a,322,0.228
583,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.575,0.031,0.186,0.089,0.508,0.185,0.24,0.025,0.002,0.947,0.003,0.004,0.101796407,0.338323353,0.348303393,0.211576846,8,18,0.287,0.279,0.11,0.076,0.263,12,42.99,3279,3229,b,253,0.145
