,area__rucc,area__urban_influence,econ__economic_typology,econ__pct_civilian_labor,econ__pct_unemployment,econ__pct_uninsured_adults,econ__pct_uninsured_children,demo__pct_female,demo__pct_below_18_years_of_age,demo__pct_aged_65_years_and_older,demo__pct_hispanic,demo__pct_non_hispanic_african_american,demo__pct_non_hispanic_white,demo__pct_american_indian_or_alaskan_native,demo__pct_asian,demo__pct_adults_less_than_a_high_school_diploma,demo__pct_adults_with_high_school_diploma,demo__pct_adults_with_some_college,demo__pct_adults_bachelors_or_higher,demo__birth_rate_per_1k,demo__death_rate_per_1k,health__pct_adult_obesity,health__pct_adult_smoking,health__pct_diabetes,health__pct_low_birthweight,health__pct_physical_inacticity,health__air_pollution_particulate_matter,health__motor_vehicle_crash_deaths_per_100k,health__pop_per_dentist,health__pop_per_primary_care_physician,yr,health__pct_excessive_drinking,heart_disease_mortality_per_100k
870,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.498,0.069,0.11,0.039,0.497,0.217,0.152,0.078,0.058,0.78,0.01,0.041,0.091457286,0.312562814,0.27638191,0.31959799,10,9,0.261,0.174,0.075,0.067,0.22,10,9.16,1650,1590,b,0.146,234.272522
876,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Nonspecialized,0.54,0.032,0.169,0.073,0.506,0.246,0.16,0.133,0.017,0.825,0.015,0.01,0.12012012,0.297297297,0.381381381,0.201201201,15,10,0.303,0.176,0.078,0.06,0.249,11,14.79,1029,1339,a,0.228,253.3141022
877,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Nonspecialized,0.396,0.069,0.21,0.065,0.462,0.192,0.193,0.024,0.012,0.946,0,0.005,0.246464646,0.413131313,0.248484848,0.091919192,9,13,0.311,0.284,0.131,0.1,0.328,13,22.6,3319,2600,b,0.143,286.7600403
879,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",Manufacturing-dependent,0.421,0.058,0.256,0.086,0.518,0.246,0.173,0.017,0.224,0.743,0.009,0,0.188532556,0.417881438,0.267249757,0.126336249,12,10,0.332,0.169,0.128,0.106,0.357,12,36.51,5399,5440,a,0.121,347.0141602
880,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",Farm-dependent,0.336,0.071,0.29,0.117,0.405,0.19,0.114,0.038,0.606,0.338,0.007,0,0.274725275,0.391608392,0.235764236,0.097902098,7,12,0.313,0.425,0.132,0.13,0.302,12,55.08,4090,2239,b,0.182,375.6408386
881,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents",Mining-dependent,0.508,0.035,0.341,0.178,0.507,0.261,0.149,0.63,0,0.362,0.022,0.008,0.284431138,0.273453094,0.308383234,0.133732535,16,8,0.304,0.408,0.103,0.08,0.292,11,42.71,3789,3720,b,0.159,287.2131653
883,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Manufacturing-dependent,0.423,0.075,0.224,0.046,0.503,0.198,0.19,0.016,0.033,0.941,0.002,0.005,0.118236473,0.50501002,0.253507014,0.123246493,11,12,0.345,0.179,0.128,0.083,0.28,13,17.94,3459,2790,a,0.128,310.8955383
886,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Manufacturing-dependent,0.519,0.043,0.145,0.063,0.511,0.234,0.158,0.015,0.006,0.966,0.007,0,0.062937063,0.393606394,0.334665335,0.208791209,11,9,0.311,0.217,0.099,0.071,0.27,14,17.97,5159,2850,b,0.12,243.5650787
887,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",Manufacturing-dependent,0.39,0.086,0.222,0.057,0.513,0.223,0.16,0.009,0.239,0.651,0.086,0.005,0.196606786,0.464071856,0.23752495,0.101796407,11,11,0.365,0.206,0.141,0.096,0.309,13,30.91,8429,4269,a,0.132,343.7583923
890,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.417,0.087,0.268,0.079,0.518,0.247,0.148,0.038,0.329,0.61,0,0.019,0.21242485,0.362725451,0.269539078,0.155310621,13,11,0.334,0.195,0.125,0.141,0.287,13,19.63,3609,2130,b,0.126,333.7950134
893,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.504,0.06,0.299,0.122,0.503,0.281,0.071,0.211,0.236,0.432,0.007,0.11,0.125502008,0.230923695,0.296184739,0.347389558,13,4,0.246,0.138,0.07,0.076,0.216,13,11.14,1769,1749,b,0.129,213.470932
894,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.483,0.049,0.287,0.152,0.511,0.278,0.113,0.174,0.097,0.686,0.003,0.01,0.16285998,0.315789474,0.329692155,0.191658391,14,8,0.363,0.235,0.106,0.087,0.301,10,19.3,3170,3289,b,0.178,323.6885376
895,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.467,0.084,0.155,0.029,0.519,0.225,0.164,0.078,0.191,0.704,0,0.014,0.120158888,0.346573982,0.334657398,0.198609732,12,10,0.398,0.196,0.124,0.097,0.273,12,10.98,1690,1189,b,0.197,274.0990906
896,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Manufacturing-dependent,0.463,0.031,0.156,0.052,0.521,0.241,0.222,0.011,0.009,0.962,0,0.005,0.102822581,0.435483871,0.326612903,0.135080645,12,12,0.323,0.204,0.112,0.082,0.257,9,28.1,6399,1580,a,0.093,285.2015991
897,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a large metro area,Nonspecialized,0.476,0.068,0.137,0.052,0.507,0.201,0.195,0.014,0.037,0.926,0.001,0.003,0.112662014,0.44666002,0.248255234,0.192422732,11,13,0.318,0.207,0.109,0.091,0.276,14,11.36,1900,2090,a,0.157,286.1216125
898,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Federal/State government-dependent,0.361,0.05,0.224,0.094,0.456,0.176,0.181,0.046,0.27,0.661,0.015,0,0.209209209,0.365365365,0.292292292,0.133133133,10,13,0.335,0.189,0.126,0.103,0.325,12,24.51,4890,2220,a,0.173,315.5028076
900,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Micropolitan adjacent to a small metro area,Nonspecialized,0.491,0.042,0.135,0.049,0.507,0.202,0.2,0,0.007,0.958,0,0.007,0.095332671,0.468718967,0.251241311,0.184707051,10,12,0.319,0.278,0.113,0.093,0.228,13,20.92,2719,1640,a,0.259,274.9767151
902,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Recreation,0.509,0.045,0.123,0.061,0.488,0.19,0.167,0.015,0.018,0.928,0.026,0.013,0.073219659,0.292878636,0.364092277,0.269809428,10,10,0.275,0.223,0.087,0.061,0.19,11,11.25,1420,820,b,0.119,215.0601501
903,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Mining-dependent,0.639,0.012,0.227,0.146,0.476,0.24,0.134,0.03,0.011,0.921,0.009,0.005,0.079365079,0.374007937,0.373015873,0.173611111,16,9,0.309,0.192,0.069,0.076,0.295,10,30.92,2709,1680,b,0.142,289.9244385
905,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Federal/State government-dependent,0.368,0.095,0.265,0.077,0.501,0.225,0.176,0.014,0.018,0.97,0.001,0.008,0.267748479,0.395537525,0.237322515,0.099391481,10,11,0.356,0.361,0.145,0.121,0.324,13,22.07,6449,6310,b,0.127,341.3255615
906,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.472,0.053,0.306,0.12,0.509,0.246,0.123,0.617,0.031,0.33,0.013,0.016,0.19265144,0.277060576,0.324726912,0.205561072,14,8,0.291,0.26,0.102,0.091,0.253,9,12.25,2179,1359,b,0.204,246.4681244
907,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents",Recreation,0.543,0.088,0.188,0.044,0.508,0.217,0.185,0.014,0.007,0.926,0.04,0.008,0.063189569,0.258776329,0.343029087,0.335005015,9,12,0.286,0.214,0.105,0.064,0.192,11,11.19,1149,780,b,0.14,231.6928406
909,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Micropolitan adjacent to a small metro area,Recreation,0.428,0.097,0.252,0.095,0.507,0.179,0.261,0.018,0.001,0.961,0.009,0.003,0.141444115,0.400593472,0.294757666,0.163204748,8,14,0.299,0.242,0.118,0.085,0.296,10,27.55,7960,3220,b,0.18,274.5829773
910,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Recreation,0.397,0.098,0.223,0.087,0.513,0.153,0.3,0.06,0.008,0.889,0.014,0.015,0.091188525,0.275614754,0.398565574,0.234631148,8,17,0.302,0.208,0.115,0.044,0.243,8,21.25,1879,1490,b,0.113,271.5553894
912,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Farm-dependent,0.412,0.041,0.384,0.211,0.506,0.243,0.213,0.261,0,0.713,0.021,0.004,0.206175299,0.37250996,0.255976096,0.165338645,10,15,0.286,0.225,0.111,0.068,0.279,10,27.92,4639,1729,b,0.303,308.4937134
914,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Manufacturing-dependent,0.469,0.058,0.209,0.112,0.493,0.266,0.099,0.2,0.083,0.698,0.008,0.015,0.171514544,0.315947844,0.315947844,0.196589769,13,7,0.31,0.416,0.099,0.081,0.285,9,26.42,12270,7229,a,0.093,298.760498
916,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.497,0.047,0.222,0.134,0.515,0.289,0.217,0.054,0,0.932,0.012,0,0.036144578,0.239959839,0.399598394,0.324297189,9,11,0.276,0.416,0.083,0.076,0.29,13,44.1,4179,5579,a,0.079,205.6250458
918,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Recreation,0.553,0.092,0.208,0.139,0.475,0.261,0.169,0.052,0.009,0.908,0.019,0.012,0.093069307,0.342574257,0.37029703,0.194059406,12,13,0.256,0.416,0.093,0.076,0.268,9,110.45,2629,2569,b,0.106,254.3304749
920,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Nonspecialized,0.293,0.134,0.268,0.086,0.503,0.239,0.136,0.011,0.008,0.984,0.006,0,0.314199396,0.375629406,0.222557905,0.087613293,14,11,0.342,0.33,0.125,0.118,0.408,13,36.53,3290,13209,b,0.152,336.697052
921,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Recreation,0.539,0.058,0.136,0.057,0.501,0.206,0.179,0.014,0.002,0.957,0.008,0.01,0.102204409,0.435871743,0.308617234,0.153306613,9,9,0.294,0.191,0.08,0.065,0.233,11,21.62,2900,3400,b,0.143,238.309494
923,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",Manufacturing-dependent,0.442,0.086,0.18,0.061,0.5,0.244,0.186,0.014,0.013,0.953,0.014,0.005,0.125623131,0.449651047,0.294117647,0.130608175,11,11,0.343,0.204,0.11,0.052,0.29,12,10.42,7910,2610,b,0.135,296.4772034
924,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a large metro area,Recreation,0.491,0.063,0.124,0.065,0.504,0.235,0.187,0.013,0.009,0.963,0.011,0.002,0.068341709,0.310552764,0.394974874,0.226130653,11,10,0.267,0.173,0.096,0.064,0.21,12,12.16,1290,990,b,0.229,194.1018066
925,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Federal/State government-dependent,0.26,0.072,0.152,0.066,0.33,0.107,0.209,0.056,0.183,0.747,0,0,0.191133005,0.536945813,0.177339901,0.094581281,4,11,0.331,0.34,0.104,0.076,0.237,13,28.39,5020,2419,b,0.158,308.7747192
927,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Micropolitan adjacent to a small metro area,Nonspecialized,0.414,0.054,0.375,0.166,0.489,0.259,0.156,0.215,0.143,0.625,0.011,0,0.212362911,0.333998006,0.288135593,0.16550349,15,10,0.331,0.246,0.114,0.084,0.322,9,36.45,3859,2840,b,0.205,340.322113
928,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Manufacturing-dependent,0.489,0.051,0.268,0.152,0.514,0.238,0.173,0.248,0.098,0.649,0.011,0.008,0.157472417,0.302908726,0.337011033,0.202607823,12,9,0.312,0.173,0.098,0.069,0.285,8,25.63,5760,5729,b,0.261,300.843689
929,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Manufacturing-dependent,0.449,0.048,0.185,0.062,0.504,0.236,0.229,0.013,0.004,0.968,0,0.009,0.110337972,0.42445328,0.330019881,0.135188867,14,12,0.318,0.208,0.1,0.085,0.292,9,110.45,5020,1050,b,0.167,284.2407837
930,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.462,0.06,0.216,0.062,0.526,0.261,0.104,0.068,0.525,0.382,0.01,0.024,0.137080868,0.269230769,0.292899408,0.300788955,15,9,0.35,0.178,0.122,0.112,0.276,13,13.56,1539,1289,a,0.132,322.8130188
931,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Recreation,0.52,0.052,0.169,0.045,0.498,0.207,0.238,0.025,0.002,0.962,0,0.006,0.07653575,0.38469285,0.304128902,0.234642497,9,11,0.293,0.425,0.12,0.061,0.293,12,17.25,2479,2500,a,0.136,231.4381561
934,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a large metro area,Recreation,0.496,0.056,0.158,0.057,0.511,0.214,0.186,0.038,0.08,0.839,0,0.008,0.096421471,0.393638171,0.301192843,0.208747515,10,12,0.28,0.195,0.106,0.086,0.236,13,8.07,1580,1340,a,0.157,236.6980286
936,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Manufacturing-dependent,0.486,0.06,0.193,0.05,0.506,0.236,0.114,0.076,0.397,0.451,0.011,0.029,0.104417671,0.290160643,0.371485944,0.233935743,15,8,0.355,0.227,0.121,0.087,0.264,12,7.8,1260,1580,a,0.092,262.1047974
938,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Manufacturing-dependent,0.493,0.039,0.199,0.083,0.506,0.319,0.082,0.099,0.003,0.856,0.017,0.022,0.078895464,0.219921105,0.337278107,0.363905325,20,4,0.229,0.048,0.063,0.069,0.159,11,8.54,1599,2290,b,0.09,195.1438141
939,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.508,0.03,0.116,0.049,0.49,0.246,0.165,0.031,0,0.941,0.009,0.004,0.055555556,0.320436508,0.376984127,0.24702381,11,9,0.331,0.186,0.091,0.059,0.266,9,18.26,3160,3139,a,0.133,221.5152893
940,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Federal/State government-dependent,0.47,0.061,0.173,0.054,0.515,0.221,0.13,0.048,0.487,0.406,0.009,0.023,0.10703667,0.267591675,0.396432111,0.228939544,13,9,0.334,0.184,0.128,0.104,0.259,12,7.05,1620,2399,a,0.099,286.285553
943,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.541,0.027,0.278,0.145,0.408,0.171,0.196,0.041,0.038,0.862,0.036,0,0.118473896,0.40060241,0.279116466,0.201807229,10,13,0.331,0.194,0.131,0.073,0.355,10,35.36,2240,5579,b,0.108,311.8178406
944,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Recreation,0.556,0.075,0.07,0.024,0.506,0.184,0.187,0.033,0.027,0.881,0.022,0.011,0.058103976,0.235474006,0.300713558,0.405708461,10,7,0.22,0.122,0.078,0.048,0.18,10,55.08,1719,940,a,0.21,195.3052826
946,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Nonspecialized,0.381,0.08,0.232,0.064,0.513,0.224,0.16,0.007,0.007,0.987,0,0,0.255721393,0.487562189,0.179104478,0.07761194,11,15,0.321,0.363,0.133,0.101,0.335,13,35.8,2080,3660,b,0.225,387.178894
948,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Federal/State government-dependent,0.469,0.067,0.192,0.05,0.457,0.204,0.147,0.013,0.018,0.933,0.011,0.037,0.074747475,0.346464646,0.264646465,0.314141414,10,10,0.259,0.141,0.082,0.038,0.23,10,9.63,2010,1299,a,0.208,294.6897583
950,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Federal/State government-dependent,0.42,0.057,0.233,0.054,0.522,0.189,0.155,0.037,0.239,0.699,0.012,0.004,0.131944444,0.33531746,0.295634921,0.237103175,11,11,0.321,0.122,0.12,0.087,0.308,11,21.33,2269,2079,a,0.236,342.8522644
952,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.455,0.058,0.198,0.05,0.53,0.191,0.141,0.028,0.284,0.63,0.013,0.026,0.123107972,0.248234107,0.303733602,0.324924319,13,10,0.334,0.241,0.113,0.078,0.27,13,7.13,1159,780,b,0.136,291.4228516
954,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Noncore adjacent to a large metro area,Nonspecialized,0.445,0.077,0.178,0.044,0.464,0.22,0.16,0.015,0.047,0.919,0.004,0.008,0.175879397,0.394974874,0.295477387,0.133668342,11,9,0.323,0.183,0.106,0.094,0.292,13,19.61,3389,5529,b,0.189,274.0483093
955,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",Recreation,0.461,0.052,0.214,0.172,0.511,0.163,0.236,0.056,0.004,0.915,0.007,0.003,0.015920398,0.190049751,0.268656716,0.525373134,4,5,0.186,0.408,0.081,0.095,0.147,11,110.45,750,899,a,0.156,143.776062
958,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.619,0.034,0.223,0.134,0.485,0.233,0.215,0.033,0.001,0.959,0.013,0,0.067193676,0.316205534,0.337944664,0.278656126,10,4,0.321,0.376,0.104,0.076,0.357,13,51.35,5020,3650,b,0.145,203.6217651
959,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Nonspecialized,0.486,0.05,0.114,0.042,0.51,0.199,0.203,0.037,0.012,0.931,0.001,0.006,0.083501006,0.347082495,0.364185111,0.205231388,11,12,0.323,0.101,0.101,0.079,0.297,12,55.08,1310,2120,a,0.202,253.0982361
961,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.489,0.061,0.188,0.084,0.499,0.271,0.124,0.02,0.018,0.951,0,0.004,0.134254689,0.425468904,0.289239882,0.151036525,14,8,0.361,0.342,0.12,0.06,0.29,11,20.66,6740,6630,b,0.222,304.7629089
962,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Nonspecialized,0.517,0.033,0.123,0.048,0.483,0.196,0.191,0.027,0.007,0.934,0.013,0.007,0.07925636,0.322896282,0.281800391,0.316046967,10,8,0.275,0.193,0.095,0.059,0.256,12,55.08,3010,1470,a,0.076,216.685791
963,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",Farm-dependent,0.523,0.039,0.186,0.102,0.497,0.209,0.204,0.023,0.002,0.961,0.014,0.016,0.110997963,0.33197556,0.365580448,0.191446029,14,6,0.329,0.144,0.099,0.066,0.293,10,55.08,4230,3150,b,0.193,214.3528442
964,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",Manufacturing-dependent,0.432,0.063,0.238,0.077,0.509,0.25,0.15,0.018,0.046,0.919,0.004,0,0.275510204,0.414285714,0.214285714,0.095918367,14,11,0.336,0.294,0.133,0.083,0.34,14,22.07,3709,2599,b,0.126,324.6029358
965,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Manufacturing-dependent,0.4,0.085,0.269,0.132,0.51,0.236,0.171,0.061,0.309,0.595,0.01,0.003,0.252008032,0.369477912,0.256024096,0.12248996,10,7,0.334,0.416,0.145,0.09,0.315,13,30.95,8640,8710,a,0.138,323.1404114
967,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Manufacturing-dependent,0.438,0.07,0.258,0.068,0.521,0.226,0.173,0.008,0.3,0.674,0,0.003,0.236920039,0.341559724,0.282329714,0.139190523,12,12,0.327,0.235,0.147,0.132,0.373,12,23.89,2770,2270,a,0.13,320.1573486
968,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",Nonspecialized,0.362,0.08,0.296,0.087,0.498,0.183,0.211,0.032,0.581,0.375,0.001,0.01,0.315841584,0.431683168,0.151485149,0.100990099,8,11,0.343,0.376,0.16,0.157,0.317,13,51.35,5020,3150,a,0.183,335.0897522
969,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.485,0.049,0.144,0.054,0.506,0.248,0.119,0.054,0.295,0.597,0.01,0.037,0.086032389,0.269230769,0.349190283,0.295546559,13,8,0.298,0.169,0.107,0.08,0.206,12,8.07,2319,1229,a,0.141,251.7423248
970,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a large metro area,Nonspecialized,0.464,0.061,0.148,0.039,0.498,0.22,0.153,0.043,0.045,0.899,0.006,0.015,0.124874119,0.400805639,0.319234642,0.155085599,10,11,0.309,0.295,0.098,0.094,0.296,13,20.22,3230,2159,b,0.231,317.5220032
971,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.397,0.07,0.152,0.045,0.488,0.253,0.118,0.068,0.046,0.845,0.013,0.02,0.113636364,0.330039526,0.350790514,0.205533597,18,7,0.289,0.264,0.086,0.077,0.268,12,10.9,1359,2559,b,0.171,269.1044006
972,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a large metro area,Nonspecialized,0.418,0.087,0.222,0.069,0.496,0.232,0.195,0.087,0.005,0.846,0.019,0.008,0.131944444,0.30952381,0.405753968,0.152777778,12,11,0.309,0.194,0.091,0.058,0.224,11,14.48,1530,1930,a,0.244,272.0561523
973,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Micropolitan adjacent to a small metro area,Federal/State government-dependent,0.469,0.188,0.371,0.109,0.501,0.268,0.208,0.624,0.003,0.349,0.018,0,0.307849134,0.322120285,0.24872579,0.121304791,16,13,0.255,0.18,0.096,0.093,0.238,10,27.82,3189,2100,b,0.236,303.9743347
974,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.502,0.067,0.149,0.044,0.508,0.204,0.181,0.06,0.033,0.871,0.001,0.01,0.11684518,0.391431353,0.277507303,0.214216164,10,12,0.302,0.251,0.105,0.084,0.314,12,13.24,1749,1249,b,0.213,302.4977417
975,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Noncore adjacent to a large metro area,Manufacturing-dependent,0.395,0.079,0.281,0.1,0.508,0.255,0.15,0.05,0.157,0.784,0.008,0.002,0.252288911,0.327568667,0.291963377,0.128179044,13,12,0.341,0.254,0.124,0.128,0.378,13,35.35,4460,3160,b,0.087,383.2073364
977,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Nonspecialized,0.426,0.049,0.302,0.166,0.488,0.243,0.196,0.213,0.062,0.69,0.008,0.006,0.202191235,0.331673307,0.283864542,0.182270916,12,9,0.295,0.408,0.127,0.095,0.295,10,110.45,1329,809,a,0.166,264.0456848
979,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",Nonspecialized,0.418,0.073,0.245,0.107,0.495,0.211,0.23,0.016,0.004,0.959,0,0,0.247514911,0.366799205,0.280318091,0.105367793,10,15,0.276,0.368,0.113,0.079,0.302,12,38.32,13530,2690,b,0.092,326.056366
980,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.509,0.054,0.121,0.033,0.518,0.244,0.135,0.06,0.076,0.826,0.011,0.025,0.07960199,0.278606965,0.323383085,0.31840796,13,8,0.308,0.179,0.083,0.07,0.211,11,8.46,1480,1279,a,0.187,242.3376465
981,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Mining-dependent,0.439,0.046,0.308,0.169,0.513,0.231,0.186,0.196,0.127,0.671,0.017,0.003,0.228628231,0.357852883,0.265407555,0.148111332,12,11,0.305,0.416,0.122,0.079,0.31,9,29.88,8580,3450,a,0.159,289.8554077
983,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.495,0.075,0.162,0.035,0.508,0.221,0.178,0.121,0.09,0.74,0.005,0.018,0.121852971,0.314199396,0.343403827,0.220543807,12,10,0.274,0.19,0.123,0.085,0.262,12,6.88,1790,1859,a,0.229,263.5825195
985,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a small metro area,Nonspecialized,0.477,0.066,0.257,0.059,0.523,0.239,0.173,0.067,0.404,0.507,0.008,0.009,0.209775967,0.319755601,0.344195519,0.126272912,11,13,0.342,0.16,0.152,0.102,0.335,12,18.51,2180,2190,a,0.187,334.1818542
